date;close;Change;Up;Down;Av up;Av down;Relative;RSI
2018-03-27;86.4;-5.7;0;5.7;0.259918864;1.195181901;0.217472223;17.86260241
2018-03-28;86.36;-0.04;0;0.04;0.233926978;1.079663711;0.216666519;17.8082092
2018-03-29;87.44;1.08;1.08;0;0.31853428;0.97169734;0.327812238;24.68814709
2018-04-03;85.46;-1.98;0;1.98;0.286680852;1.072527606;0.267294614;21.09175016
2018-04-04;85.54;0.08;0.08;0;0.266012767;0.965274845;0.275582409;21.60443785
2018-04-05;87.14;1.6;1.6;0;0.39941149;0.868747361;0.45975563;31.49538324
2018-04-06;85.58;-1.56;0;1.56;0.359470341;0.937872625;0.383282689;27.70819673
2018-04-09;85.28;-0.3;0;0.3;0.323523307;0.874085362;0.370127817;27.01410865
2018-04-10;85.58;0.3;0.3;0;0.321170976;0.786676826;0.408262918;28.99053242
2018-04-11;83.28;-2.3;0;2.3;0.289053879;0.938009143;0.308156782;23.5565634
2018-04-12;83.96;0.68;0.68;0;0.328148491;0.844208229;0.388705629;27.99049856
2018-04-13;83.9;-0.06;0;0.06;0.295333642;0.765787406;0.385660092;27.83222916
2018-04-16;84.26;0.36;0.36;0;0.301800278;0.689208666;0.43789391;30.45383997
2018-04-17;85.14;0.88;0.88;0;0.35962025;0.620287799;0.579763539;36.69938728
2018-04-18;84.94;-0.2;0;0.2;0.323658225;0.578259019;0.559711503;35.88557897
2018-04-19;85.34;0.4;0.4;0;0.331292402;0.520433117;0.636570563;38.89661572
2018-04-20;85.64;0.3;0.3;0;0.328163162;0.468389805;0.700619779;41.19790842
2018-04-23;86.66;1.02;1.02;0;0.397346846;0.421550825;0.942583486;48.52216096
2018-04-24;86.44;-0.22;0;0.22;0.357612161;0.401395742;0.89092166;47.11573616
2018-04-25;84.88;-1.56;0;1.56;0.321850945;0.517256168;0.62222737;38.35636
2018-04-26;85.74;0.86;0.86;0;0.375665851;0.465530551;0.806962829;44.65851848
2018-04-27;86.42;0.68;0.68;0;0.406099266;0.418977496;0.969262715;49.21957379
2018-04-30;82.5;-3.92;0;3.92;0.365489339;0.769079747;0.475229442;32.21393423
2018-05-02;84.72;2.22;2.22;0;0.550940405;0.692171772;0.795959078;44.319444
2018-05-03;83.08;-1.64;0;1.64;0.495846365;0.786954595;0.630082559;38.65341392
2018-05-04;83.94;0.86;0.86;0;0.532261728;0.708259135;0.751507043;42.90631007
2018-05-07;84.38;0.44;0.44;0;0.523035555;0.637433222;0.820533881;45.07105798
2018-05-08;84.5;0.12;0.12;0;0.482732;0.5736899;0.841451105;45.69500122
2018-05-09;86.14;1.64;1.64;0;0.5984588;0.51632091;1.159083021;53.68404132
2018-05-11;85.14;-1;0;1;0.53861292;0.564688819;0.953822534;48.8182789
2018-05-14;83.9;-1.24;0;1.24;0.484751628;0.632219937;0.766745241;43.39874382
2018-05-15;84.38;0.48;0.48;0;0.484276465;0.568997943;0.85110407;45.97818587
2018-05-16;83.12;-1.26;0;1.26;0.435848819;0.638098149;0.68304354;40.58383066
2018-05-17;84.06;0.94;0.94;0;0.486263937;0.574288334;0.846724386;45.85006795
2018-05-18;83.8;-0.26;0;0.26;0.437637543;0.542859501;0.80617092;44.63425422
2018-05-21;84.2;0.4;0.4;0;0.433873789;0.48857355;0.88804191;47.03507401
2018-05-22;85.16;0.96;0.96;0;0.48648641;0.439716195;1.106364548;52.52483712
2018-05-23;83.96;-1.2;0;1.2;0.437837769;0.515744576;0.848943041;45.91504565
2018-05-24;83.32;-0.64;0;0.64;0.394053992;0.528170118;0.746073998;42.72865864
2018-05-25;82.9;-0.42;0;0.42;0.354648593;0.517353106;0.685505873;40.67063093
2018-05-28;82.6;-0.3;0;0.3;0.319183734;0.495617796;0.64401185;39.17318783
2018-05-29;80.9;-1.7;0;1.7;0.28726536;0.616056016;0.466297467;31.80101431
2018-05-30;80.72;-0.18;0;0.18;0.258538824;0.572450415;0.451635316;31.11217475
2018-05-31;79.44;-1.28;0;1.28;0.232684942;0.643205373;0.361758392;26.56553427
2018-06-01;80.62;1.18;1.18;0;0.327416448;0.578884836;0.565598591;36.1266671
2018-06-04;80.44;-0.18;0;0.18;0.294674803;0.538996352;0.546710199;35.3466473
2018-06-05;79.52;-0.92;0;0.92;0.265207323;0.577096717;0.459554377;31.48593739
2018-06-07;80;0.48;0.48;0;0.28668659;0.519387045;0.551971007;35.5658066
2018-06-08;80.26;0.26;0.26;0;0.284017931;0.467448341;0.607592126;37.79516684
2018-06-11;82.02;1.76;1.76;0;0.431616138;0.420703507;1.025939007;50.64017247
2018-06-12;82.18;0.16;0.16;0;0.404454524;0.378633156;1.068196268;51.64868947
2018-06-13;81.3;-0.88;0;0.88;0.364009072;0.42876984;0.848961465;45.91558456
2018-06-14;83.06;1.76;1.76;0;0.503608165;0.385892856;1.305046612;56.61692935
2018-06-15;82.66;-0.4;0;0.4;0.453247348;0.387303571;1.170263799;53.92265215
2018-06-18;81.98;-0.68;0;0.68;0.407922613;0.416573214;0.979233902;49.4754006
2018-06-19;82.82;0.84;0.84;0;0.451130352;0.374915892;1.203284153;54.61320781
2018-06-20;82.94;0.12;0.12;0;0.418017317;0.337424303;1.238847685;55.33416558
2018-06-21;81.8;-1.14;0;1.14;0.376215585;0.417681873;0.900722798;47.38843555
2018-06-25;81.9;0.1;0.1;0;0.348594027;0.375913685;0.92732465;48.11460538
2018-06-26;82.26;0.36;0.36;0;0.349734624;0.338322317;1.033732055;50.82931414
2018-06-27;83.32;1.06;1.06;0;0.420761162;0.304490085;1.381855049;58.01591702
2018-06-28;83.84;0.52;0.52;0;0.430685045;0.274041077;1.571607624;61.11381881
2018-06-29;85.16;1.32;1.32;0;0.519616541;0.246636969;2.106807195;67.81261477
2018-07-02;84.3;-0.86;0;0.86;0.467654887;0.307973272;1.518491795;60.29369633
